period,year,month,month_name,quarter,employment_ratio_monthly,employment_ratio_annual
1994-01,1994,1,Jan,Q1,49.608,49.608
1994-02,1994,2,Feb,Q1,49.486,49.608
1994-03,1994,3,Mar,Q1,49.364,49.608
1994-04,1994,4,Apr,Q2,49.242,49.608
1994-05,1994,5,May,Q2,49.121,49.608
1994-06,1994,6,Jun,Q2,48.999,49.608
1994-07,1994,7,Jul,Q3,48.877,49.608
1994-08,1994,8,Aug,Q3,48.755,49.608
1994-09,1994,9,Sep,Q3,48.633,49.608
1994-10,1994,10,Oct,Q4,48.511,49.608
1994-11,1994,11,Nov,Q4,48.39,49.608
1994-12,1994,12,Dec,Q4,48.268,49.608
1995-01,1995,1,Jan,Q1,48.146,48.146
1995-02,1995,2,Feb,Q1,48.227,48.146
1995-03,1995,3,Mar,Q1,48.307,48.146
1995-04,1995,4,Apr,Q2,48.388,48.146
1995-05,1995,5,May,Q2,48.468,48.146
1995-06,1995,6,Jun,Q2,48.549,48.146
1995-07,1995,7,Jul,Q3,48.629,48.146
1995-08,1995,8,Aug,Q3,48.709,48.146
1995-09,1995,9,Sep,Q3,48.79,48.146
1995-10,1995,10,Oct,Q4,48.87,48.146
1995-11,1995,11,Nov,Q4,48.951,48.146
1995-12,1995,12,Dec,Q4,49.032,48.146
1996-01,1996,1,Jan,Q1,49.112,49.112
1996-02,1996,2,Feb,Q1,49.135,49.112
1996-03,1996,3,Mar,Q1,49.157,49.112
1996-04,1996,4,Apr,Q2,49.18,49.112
1996-05,1996,5,May,Q2,49.203,49.112
1996-06,1996,6,Jun,Q2,49.226,49.112
1996-07,1996,7,Jul,Q3,49.248,49.112
1996-08,1996,8,Aug,Q3,49.271,49.112
1996-09,1996,9,Sep,Q3,49.294,49.112
1996-10,1996,10,Oct,Q4,49.317,49.112
1996-11,1996,11,Nov,Q4,49.34,49.112
1996-12,1996,12,Dec,Q4,49.362,49.112
1997-01,1997,1,Jan,Q1,49.385,49.385
1997-02,1997,2,Feb,Q1,49.722,49.385
1997-03,1997,3,Mar,Q1,50.058,49.385
1997-04,1997,4,Apr,Q2,50.395,49.385
1997-05,1997,5,May,Q2,50.732,49.385
1997-06,1997,6,Jun,Q2,51.069,49.385
1997-07,1997,7,Jul,Q3,51.406,49.385
1997-08,1997,8,Aug,Q3,51.742,49.385
1997-09,1997,9,Sep,Q3,52.079,49.385
1997-10,1997,10,Oct,Q4,52.416,49.385
1997-11,1997,11,Nov,Q4,52.752,49.385
1997-12,1997,12,Dec,Q4,53.089,49.385
1998-01,1998,1,Jan,Q1,53.426,53.426
1998-02,1998,2,Feb,Q1,53.326,53.426
1998-03,1998,3,Mar,Q1,53.225,53.426
1998-04,1998,4,Apr,Q2,53.125,53.426
1998-05,1998,5,May,Q2,53.024,53.426
1998-06,1998,6,Jun,Q2,52.924,53.426
1998-07,1998,7,Jul,Q3,52.823,53.426
1998-08,1998,8,Aug,Q3,52.723,53.426
1998-09,1998,9,Sep,Q3,52.623,53.426
1998-10,1998,10,Oct,Q4,52.522,53.426
1998-11,1998,11,Nov,Q4,52.422,53.426
1998-12,1998,12,Dec,Q4,52.321,53.426
1999-01,1999,1,Jan,Q1,52.221,52.221
1999-02,1999,2,Feb,Q1,52.142,52.221
1999-03,1999,3,Mar,Q1,52.062,52.221
1999-04,1999,4,Apr,Q2,51.983,52.221
1999-05,1999,5,May,Q2,51.904,52.221
1999-06,1999,6,Jun,Q2,51.824,52.221
1999-07,1999,7,Jul,Q3,51.745,52.221
1999-08,1999,8,Aug,Q3,51.666,52.221
1999-09,1999,9,Sep,Q3,51.586,52.221
1999-10,1999,10,Oct,Q4,51.507,52.221
1999-11,1999,11,Nov,Q4,51.428,52.221
1999-12,1999,12,Dec,Q4,51.348,52.221
2000-01,2000,1,Jan,Q1,51.269,51.269
2000-02,2000,2,Feb,Q1,51.244,51.269
2000-03,2000,3,Mar,Q1,51.219,51.269
2000-04,2000,4,Apr,Q2,51.194,51.269
2000-05,2000,5,May,Q2,51.17,51.269
2000-06,2000,6,Jun,Q2,51.145,51.269
2000-07,2000,7,Jul,Q3,51.12,51.269
2000-08,2000,8,Aug,Q3,51.095,51.269
2000-09,2000,9,Sep,Q3,51.07,51.269
2000-10,2000,10,Oct,Q4,51.045,51.269
2000-11,2000,11,Nov,Q4,51.021,51.269
2000-12,2000,12,Dec,Q4,50.996,51.269
2001-01,2001,1,Jan,Q1,50.971,50.971
2001-02,2001,2,Feb,Q1,50.914,50.971
2001-03,2001,3,Mar,Q1,50.857,50.971
2001-04,2001,4,Apr,Q2,50.8,50.971
2001-05,2001,5,May,Q2,50.743,50.971
2001-06,2001,6,Jun,Q2,50.686,50.971
2001-07,2001,7,Jul,Q3,50.629,50.971
2001-08,2001,8,Aug,Q3,50.573,50.971
2001-09,2001,9,Sep,Q3,50.516,50.971
2001-10,2001,10,Oct,Q4,50.459,50.971
2001-11,2001,11,Nov,Q4,50.402,50.971
2001-12,2001,12,Dec,Q4,50.345,50.971
2002-01,2002,1,Jan,Q1,50.288,50.288
2002-02,2002,2,Feb,Q1,50.295,50.288
2002-03,2002,3,Mar,Q1,50.303,50.288
2002-04,2002,4,Apr,Q2,50.31,50.288
2002-05,2002,5,May,Q2,50.318,50.288
2002-06,2002,6,Jun,Q2,50.325,50.288
2002-07,2002,7,Jul,Q3,50.333,50.288
2002-08,2002,8,Aug,Q3,50.34,50.288
2002-09,2002,9,Sep,Q3,50.348,50.288
2002-10,2002,10,Oct,Q4,50.355,50.288
2002-11,2002,11,Nov,Q4,50.363,50.288
2002-12,2002,12,Dec,Q4,50.37,50.288
2003-01,2003,1,Jan,Q1,50.378,50.378
2003-02,2003,2,Feb,Q1,50.353,50.378
2003-03,2003,3,Mar,Q1,50.328,50.378
2003-04,2003,4,Apr,Q2,50.304,50.378
2003-05,2003,5,May,Q2,50.279,50.378
2003-06,2003,6,Jun,Q2,50.254,50.378
2003-07,2003,7,Jul,Q3,50.23,50.378
2003-08,2003,8,Aug,Q3,50.205,50.378
2003-09,2003,9,Sep,Q3,50.18,50.378
2003-10,2003,10,Oct,Q4,50.155,50.378
2003-11,2003,11,Nov,Q4,50.131,50.378
2003-12,2003,12,Dec,Q4,50.106,50.378
2004-01,2004,1,Jan,Q1,50.081,50.081
2004-02,2004,2,Feb,Q1,50.096,50.081
2004-03,2004,3,Mar,Q1,50.111,50.081
2004-04,2004,4,Apr,Q2,50.126,50.081
2004-05,2004,5,May,Q2,50.141,50.081
2004-06,2004,6,Jun,Q2,50.156,50.081
2004-07,2004,7,Jul,Q3,50.171,50.081
2004-08,2004,8,Aug,Q3,50.185,50.081
2004-09,2004,9,Sep,Q3,50.2,50.081
2004-10,2004,10,Oct,Q4,50.215,50.081
2004-11,2004,11,Nov,Q4,50.23,50.081
2004-12,2004,12,Dec,Q4,50.245,50.081
2005-01,2005,1,Jan,Q1,50.26,50.26
2005-02,2005,2,Feb,Q1,50.295,50.26
2005-03,2005,3,Mar,Q1,50.331,50.26
2005-04,2005,4,Apr,Q2,50.366,50.26
2005-05,2005,5,May,Q2,50.401,50.26
2005-06,2005,6,Jun,Q2,50.437,50.26
2005-07,2005,7,Jul,Q3,50.472,50.26
2005-08,2005,8,Aug,Q3,50.507,50.26
2005-09,2005,9,Sep,Q3,50.543,50.26
2005-10,2005,10,Oct,Q4,50.578,50.26
2005-11,2005,11,Nov,Q4,50.613,50.26
2005-12,2005,12,Dec,Q4,50.649,50.26
2006-01,2006,1,Jan,Q1,50.684,50.684
2006-02,2006,2,Feb,Q1,50.69,50.684
2006-03,2006,3,Mar,Q1,50.696,50.684
2006-04,2006,4,Apr,Q2,50.702,50.684
2006-05,2006,5,May,Q2,50.708,50.684
2006-06,2006,6,Jun,Q2,50.714,50.684
2006-07,2006,7,Jul,Q3,50.721,50.684
2006-08,2006,8,Aug,Q3,50.727,50.684
2006-09,2006,9,Sep,Q3,50.733,50.684
2006-10,2006,10,Oct,Q4,50.739,50.684
2006-11,2006,11,Nov,Q4,50.745,50.684
2006-12,2006,12,Dec,Q4,50.751,50.684
2007-01,2007,1,Jan,Q1,50.757,50.757
2007-02,2007,2,Feb,Q1,50.773,50.757
2007-03,2007,3,Mar,Q1,50.788,50.757
2007-04,2007,4,Apr,Q2,50.804,50.757
2007-05,2007,5,May,Q2,50.82,50.757
2007-06,2007,6,Jun,Q2,50.835,50.757
2007-07,2007,7,Jul,Q3,50.851,50.757
2007-08,2007,8,Aug,Q3,50.867,50.757
2007-09,2007,9,Sep,Q3,50.882,50.757
2007-10,2007,10,Oct,Q4,50.898,50.757
2007-11,2007,11,Nov,Q4,50.914,50.757
2007-12,2007,12,Dec,Q4,50.929,50.757
2008-01,2008,1,Jan,Q1,50.945,50.945
2008-02,2008,2,Feb,Q1,50.899,50.945
2008-03,2008,3,Mar,Q1,50.853,50.945
2008-04,2008,4,Apr,Q2,50.807,50.945
2008-05,2008,5,May,Q2,50.761,50.945
2008-06,2008,6,Jun,Q2,50.715,50.945
2008-07,2008,7,Jul,Q3,50.669,50.945
2008-08,2008,8,Aug,Q3,50.622,50.945
2008-09,2008,9,Sep,Q3,50.576,50.945
2008-10,2008,10,Oct,Q4,50.53,50.945
2008-11,2008,11,Nov,Q4,50.484,50.945
2008-12,2008,12,Dec,Q4,50.438,50.945
2009-01,2009,1,Jan,Q1,50.392,50.392
2009-02,2009,2,Feb,Q1,50.421,50.392
2009-03,2009,3,Mar,Q1,50.451,50.392
2009-04,2009,4,Apr,Q2,50.48,50.392
2009-05,2009,5,May,Q2,50.51,50.392
2009-06,2009,6,Jun,Q2,50.539,50.392
2009-07,2009,7,Jul,Q3,50.569,50.392
2009-08,2009,8,Aug,Q3,50.598,50.392
2009-09,2009,9,Sep,Q3,50.627,50.392
2009-10,2009,10,Oct,Q4,50.657,50.392
2009-11,2009,11,Nov,Q4,50.686,50.392
2009-12,2009,12,Dec,Q4,50.716,50.392
2010-01,2010,1,Jan,Q1,50.745,50.745
2010-02,2010,2,Feb,Q1,50.74,50.745
2010-03,2010,3,Mar,Q1,50.736,50.745
2010-04,2010,4,Apr,Q2,50.731,50.745
2010-05,2010,5,May,Q2,50.727,50.745
2010-06,2010,6,Jun,Q2,50.722,50.745
2010-07,2010,7,Jul,Q3,50.718,50.745
2010-08,2010,8,Aug,Q3,50.713,50.745
2010-09,2010,9,Sep,Q3,50.708,50.745
2010-10,2010,10,Oct,Q4,50.704,50.745
2010-11,2010,11,Nov,Q4,50.699,50.745
2010-12,2010,12,Dec,Q4,50.695,50.745
2011-01,2011,1,Jan,Q1,50.69,50.69
2011-02,2011,2,Feb,Q1,50.677,50.69
2011-03,2011,3,Mar,Q1,50.663,50.69
2011-04,2011,4,Apr,Q2,50.65,50.69
2011-05,2011,5,May,Q2,50.637,50.69
2011-06,2011,6,Jun,Q2,50.623,50.69
2011-07,2011,7,Jul,Q3,50.61,50.69
2011-08,2011,8,Aug,Q3,50.597,50.69
2011-09,2011,9,Sep,Q3,50.583,50.69
2011-10,2011,10,Oct,Q4,50.57,50.69
2011-11,2011,11,Nov,Q4,50.557,50.69
2011-12,2011,12,Dec,Q4,50.543,50.69
2012-01,2012,1,Jan,Q1,50.53,50.53
2012-02,2012,2,Feb,Q1,50.475,50.53
2012-03,2012,3,Mar,Q1,50.421,50.53
2012-04,2012,4,Apr,Q2,50.366,50.53
2012-05,2012,5,May,Q2,50.311,50.53
2012-06,2012,6,Jun,Q2,50.257,50.53
2012-07,2012,7,Jul,Q3,50.202,50.53
2012-08,2012,8,Aug,Q3,50.147,50.53
2012-09,2012,9,Sep,Q3,50.093,50.53
2012-10,2012,10,Oct,Q4,50.038,50.53
2012-11,2012,11,Nov,Q4,49.983,50.53
2012-12,2012,12,Dec,Q4,49.929,50.53
2013-01,2013,1,Jan,Q1,49.874,49.874
2013-02,2013,2,Feb,Q1,49.839,49.874
2013-03,2013,3,Mar,Q1,49.804,49.874
2013-04,2013,4,Apr,Q2,49.769,49.874
2013-05,2013,5,May,Q2,49.734,49.874
2013-06,2013,6,Jun,Q2,49.699,49.874
2013-07,2013,7,Jul,Q3,49.664,49.874
2013-08,2013,8,Aug,Q3,49.629,49.874
2013-09,2013,9,Sep,Q3,49.594,49.874
2013-10,2013,10,Oct,Q4,49.559,49.874
2013-11,2013,11,Nov,Q4,49.524,49.874
2013-12,2013,12,Dec,Q4,49.489,49.874
2014-01,2014,1,Jan,Q1,49.454,49.454
2014-02,2014,2,Feb,Q1,49.603,49.454
2014-03,2014,3,Mar,Q1,49.752,49.454
2014-04,2014,4,Apr,Q2,49.901,49.454
2014-05,2014,5,May,Q2,50.05,49.454
2014-06,2014,6,Jun,Q2,50.199,49.454
2014-07,2014,7,Jul,Q3,50.349,49.454
2014-08,2014,8,Aug,Q3,50.498,49.454
2014-09,2014,9,Sep,Q3,50.647,49.454
2014-10,2014,10,Oct,Q4,50.796,49.454
2014-11,2014,11,Nov,Q4,50.945,49.454
2014-12,2014,12,Dec,Q4,51.094,49.454
2015-01,2015,1,Jan,Q1,51.243,51.243
2015-02,2015,2,Feb,Q1,51.26,51.243
2015-03,2015,3,Mar,Q1,51.277,51.243
2015-04,2015,4,Apr,Q2,51.294,51.243
2015-05,2015,5,May,Q2,51.311,51.243
2015-06,2015,6,Jun,Q2,51.328,51.243
2015-07,2015,7,Jul,Q3,51.344,51.243
2015-08,2015,8,Aug,Q3,51.361,51.243
2015-09,2015,9,Sep,Q3,51.378,51.243
2015-10,2015,10,Oct,Q4,51.395,51.243
2015-11,2015,11,Nov,Q4,51.412,51.243
2015-12,2015,12,Dec,Q4,51.429,51.243
2016-01,2016,1,Jan,Q1,51.446,51.446
2016-02,2016,2,Feb,Q1,51.476,51.446
2016-03,2016,3,Mar,Q1,51.506,51.446
2016-04,2016,4,Apr,Q2,51.536,51.446
2016-05,2016,5,May,Q2,51.566,51.446
2016-06,2016,6,Jun,Q2,51.596,51.446
2016-07,2016,7,Jul,Q3,51.627,51.446
2016-08,2016,8,Aug,Q3,51.657,51.446
2016-09,2016,9,Sep,Q3,51.687,51.446
2016-10,2016,10,Oct,Q4,51.717,51.446
2016-11,2016,11,Nov,Q4,51.747,51.446
2016-12,2016,12,Dec,Q4,51.777,51.446
2017-01,2017,1,Jan,Q1,51.807,51.807
2017-02,2017,2,Feb,Q1,51.614,51.807
2017-03,2017,3,Mar,Q1,51.421,51.807
2017-04,2017,4,Apr,Q2,51.227,51.807
2017-05,2017,5,May,Q2,51.034,51.807
2017-06,2017,6,Jun,Q2,50.841,51.807
2017-07,2017,7,Jul,Q3,50.648,51.807
2017-08,2017,8,Aug,Q3,50.454,51.807
2017-09,2017,9,Sep,Q3,50.261,51.807
2017-10,2017,10,Oct,Q4,50.068,51.807
2017-11,2017,11,Nov,Q4,49.874,51.807
2017-12,2017,12,Dec,Q4,49.681,51.807
2018-01,2018,1,Jan,Q1,49.488,49.488
2018-02,2018,2,Feb,Q1,49.515,49.488
2018-03,2018,3,Mar,Q1,49.541,49.488
2018-04,2018,4,Apr,Q2,49.568,49.488
2018-05,2018,5,May,Q2,49.595,49.488
2018-06,2018,6,Jun,Q2,49.622,49.488
2018-07,2018,7,Jul,Q3,49.648,49.488
2018-08,2018,8,Aug,Q3,49.675,49.488
2018-09,2018,9,Sep,Q3,49.702,49.488
2018-10,2018,10,Oct,Q4,49.729,49.488
2018-11,2018,11,Nov,Q4,49.755,49.488
2018-12,2018,12,Dec,Q4,49.782,49.488
2019-01,2019,1,Jan,Q1,49.809,49.809
2019-02,2019,2,Feb,Q1,49.64,49.809
2019-03,2019,3,Mar,Q1,49.472,49.809
2019-04,2019,4,Apr,Q2,49.303,49.809
2019-05,2019,5,May,Q2,49.135,49.809
2019-06,2019,6,Jun,Q2,48.966,49.809
2019-07,2019,7,Jul,Q3,48.797,49.809
2019-08,2019,8,Aug,Q3,48.629,49.809
2019-09,2019,9,Sep,Q3,48.46,49.809
2019-10,2019,10,Oct,Q4,48.292,49.809
2019-11,2019,11,Nov,Q4,48.123,49.809
2019-12,2019,12,Dec,Q4,47.955,49.809
2020-01,2020,1,Jan,Q1,47.786,47.786
2020-02,2020,2,Feb,Q1,47.75,47.786
2020-03,2020,3,Mar,Q1,47.714,47.786
2020-04,2020,4,Apr,Q2,47.678,47.786
2020-05,2020,5,May,Q2,47.642,47.786
2020-06,2020,6,Jun,Q2,47.606,47.786
2020-07,2020,7,Jul,Q3,47.57,47.786
2020-08,2020,8,Aug,Q3,47.534,47.786
2020-09,2020,9,Sep,Q3,47.498,47.786
2020-10,2020,10,Oct,Q4,47.462,47.786
2020-11,2020,11,Nov,Q4,47.426,47.786
2020-12,2020,12,Dec,Q4,47.39,47.786
2021-01,2021,1,Jan,Q1,47.354,47.354
2021-02,2021,2,Feb,Q1,47.364,47.354
2021-03,2021,3,Mar,Q1,47.374,47.354
2021-04,2021,4,Apr,Q2,47.385,47.354
2021-05,2021,5,May,Q2,47.395,47.354
2021-06,2021,6,Jun,Q2,47.405,47.354
2021-07,2021,7,Jul,Q3,47.415,47.354
2021-08,2021,8,Aug,Q3,47.425,47.354
2021-09,2021,9,Sep,Q3,47.435,47.354
2021-10,2021,10,Oct,Q4,47.445,47.354
2021-11,2021,11,Nov,Q4,47.456,47.354
2021-12,2021,12,Dec,Q4,47.466,47.354
2022-01,2022,1,Jan,Q1,47.476,47.476
2022-02,2022,2,Feb,Q1,47.291,47.476
2022-03,2022,3,Mar,Q1,47.106,47.476
2022-04,2022,4,Apr,Q2,46.92,47.476
2022-05,2022,5,May,Q2,46.735,47.476
2022-06,2022,6,Jun,Q2,46.55,47.476
2022-07,2022,7,Jul,Q3,46.365,47.476
2022-08,2022,8,Aug,Q3,46.18,47.476
2022-09,2022,9,Sep,Q3,45.995,47.476
2022-10,2022,10,Oct,Q4,45.809,47.476
2022-11,2022,11,Nov,Q4,45.624,47.476
2022-12,2022,12,Dec,Q4,45.439,47.476
2023-01,2023,1,Jan,Q1,45.254,45.254
2023-02,2023,2,Feb,Q1,45.361,45.254
2023-03,2023,3,Mar,Q1,45.468,45.254
2023-04,2023,4,Apr,Q2,45.575,45.254
2023-05,2023,5,May,Q2,45.683,45.254
2023-06,2023,6,Jun,Q2,45.79,45.254
2023-07,2023,7,Jul,Q3,45.897,45.254
2023-08,2023,8,Aug,Q3,46.004,45.254
2023-09,2023,9,Sep,Q3,46.111,45.254
2023-10,2023,10,Oct,Q4,46.218,45.254
2023-11,2023,11,Nov,Q4,46.326,45.254
2023-12,2023,12,Dec,Q4,46.433,45.254
2024-01,2024,1,Jan,Q1,46.54,46.54
2024-02,2024,2,Feb,Q1,46.543,46.54
2024-03,2024,3,Mar,Q1,46.546,46.54
2024-04,2024,4,Apr,Q2,46.548,46.54
2024-05,2024,5,May,Q2,46.551,46.54
2024-06,2024,6,Jun,Q2,46.554,46.54
2024-07,2024,7,Jul,Q3,46.557,46.54
2024-08,2024,8,Aug,Q3,46.56,46.54
2024-09,2024,9,Sep,Q3,46.563,46.54
2024-10,2024,10,Oct,Q4,46.566,46.54
2024-11,2024,11,Nov,Q4,46.568,46.54
2024-12,2024,12,Dec,Q4,46.571,46.54
2025-01,2025,1,Jan,Q1,46.574,46.574
2025-02,2025,2,Feb,Q1,46.574,46.574
2025-03,2025,3,Mar,Q1,46.574,46.574
2025-04,2025,4,Apr,Q2,46.574,46.574
2025-05,2025,5,May,Q2,46.574,46.574
2025-06,2025,6,Jun,Q2,46.574,46.574
2025-07,2025,7,Jul,Q3,46.574,46.574
2025-08,2025,8,Aug,Q3,46.574,46.574
2025-09,2025,9,Sep,Q3,46.574,46.574
2025-10,2025,10,Oct,Q4,46.574,46.574
2025-11,2025,11,Nov,Q4,46.574,46.574
2025-12,2025,12,Dec,Q4,46.574,46.574
