Year,total_skilled_perc,total_lowskilled_perc,male_skilled_perc,male_lowskilled_perc,female_skilled_perc,female_lowskilled_perc
2000,80.37,19.63,55.9,44.1,92.33,7.67
2001,81.86,18.14,57.22,42.78,93.72,6.28
2002,82.1,17.9,58.69,41.31,94.48,5.52
2003,78.91,21.09,58.61,41.39,90.08,9.92
2004,79.88,20.12,58.1,41.9,92.99,7.01
2005,81.88,18.12,58.94,41.06,97.56,2.44
2006,79.74,20.26,59.05,40.95,96.43,3.57
2007,74.51,25.49,51.41,48.59,95.3,4.7
2008,74.23,25.77,54.83,45.17,94.57,5.43
2009,77.26,22.74,58.57,41.43,94.73,5.27
2010,75.57,24.43,59.2,40.8,92.71,7.29
2011,74.19,25.81,57.97,42.03,91.66,8.34
2012,76.5,23.5,60.84,39.16,92.82,7.18
2013,74.63,25.37,63.44,36.56,91.24,8.76
2014,72.23,27.77,62.6,37.4,88.81,11.19
2015,71.82,28.18,57.98,42.02,88.73,11.27
2016,68.87,31.13,59.42,40.58,87.24,12.76
2017,69.64,30.36,60.99,39.01,86.22,13.78
2018,52.07,47.93,65.0,35.0,88.86,11.14
2019,52.4,47.6,64.5,35.5,86.72,13.28
2020,54.47,45.53,64.46,35.54,84.8,15.2
2021,60.05,39.95,67.01,32.99,83.36,16.64
2022,66.69,33.31,63.64,36.36,71.28,28.72
2023,70.05,29.95,64.89,35.11,76.45,23.55
2024,77.66,22.34,68.53,31.47,90.97,9.03
2025,76.46,23.54,67.91,32.09,90.03,9.97